chapter	segment	title
1	1	王太子の苦悩と妻スルマの慰め
1	2	ウダヤディティヤの告白と夫婦の絆
1	3	深夜の急報とウダヤディティヤの出発
2	1	叔父殺害の正当性を主張するプラタパディティヤ王
2	2	王の企てを巡る大臣との激論
2	3	王太子の失踪と激怒するプラタパディティヤ王
3	1	王太子のバサンタ・ライ追跡劇
4	1	バサンタ・ライとパターン人の詩と音楽の交流
4	2	暗殺者の告白とバサンタ・ライの慈悲
4	3	消えた案内人とマハラジャへの報告
5	1	暗殺の隠蔽を巡る王と大臣の論争
5	2	バサンタ・ライの慈悲とプラタパディティヤの葛藤
5	3	王妃と王家による嫁スルマへの非難
6	1	夫を想い涙するビバとスルマの慰め
6	2	ビバと大おじ様の微笑ましい再会
6	3	ビバの秘めた苦悩を明かすスルマ
6	4	バサンタ・ライの計らいと王宮の賑わい
7	1	道化師ラマイが語る司令官の滑稽話
7	2	ラマイが披露する妻と司令官への冗談
7	3	王とラマイの奥御殿への企て
8	1	婿君の来訪とビバの華やかな装い
8	2	ラーマチャンドラ・ライへの屈辱的な出迎えと憤慨
8	3	プラタパディティヤの威厳に気づくラーマチャンドラ
9	1	奥御殿を訪れる客人と賑やかなひととき
9	2	ラマイの正体露呈と迫り来る危機
10	1	突然の逃走勧告と募る不安
10	2	衝撃的な知らせとバサンタ・ライの急行
10	3	プラタパディティヤの怒りと冷酷な決断
11	1	閉ざされた宮殿からの脱出の試み
11	2	王太子の奥御殿脱出とラムモハンの忠義
11	3	布の綱を用いた屋上からの救出作戦
11	4	ラーマチャンドラの救出と追手からの脱出
12	1	プラタパディティヤの激怒とラーマチャンドラの逃亡
12	2	不安な夜とバサンタ・ライの偽りの計略
12	3	衛兵の尋問と王太子の処遇
13	1	バサンタ・ライの別れとスルマの誓い
13	2	バサンタ・ライとの惜別と追憶
13	3	バサンタ・ライの別れと残されたシタール
14	1	マータンギニーの依頼とマンガラの企み
15	1	ウダヤディティヤの慈悲と王の対立
16	1	王の命によるスルマの追放と夫婦の別れ
17	1	ルクミニーの陰謀とスルマの最期
18	1	スルマを失った悲しみとビバの嫁入り
19	1	ラーマチャンドラ・ライ王の誇りと名誉への執着
19	2	王の嘲笑とビバへの秘めた渇望
19	3	ラムモハンの説得と王妃の迎えの許可
20	1	悲嘆と恐怖に囚われたウダヤディティヤ
21	1	洒落者シタラムの虚勢とルクミニーへの借金
21	2	シタラムとルクミニーの軽妙なやり取り
21	3	嵐の夜のルクミニーの策略
22	1	バーガヴァタの策略と偽の嘆願書
23	1	兄を想い帰還を拒むビバ
23	2	ビバの苦悩とウダヤディティヤの投獄
24	1	ラムモハンの帰還とビバの拒絶
24	2	侮辱された王と体面への執着
24	3	王の婚礼準備と道化の機知
25	1	囚われのウダヤディティヤとビバの切ない絆
26	1	離縁状と王妃の涙の訴え
27	1	シタラムの憤怒とライガルへの旅立ち
27	2	沈む太陽と老人の孤独な歌
27	3	バサンタ・ライとカーン・サーヘブの対話と合唱
27	4	王太子の投獄に愕然とするバサンタ・ライ
28	1	バサンタ・ライとビバの悲しき再会
28	2	バサンタ・ライの嘆願とプラタパディティヤの拒絶
28	3	ビバとバサンタ・ライの白髪抜き
28	4	王妃の苦悩とビバを守る決断
29	1	シタラムの急報とバサンタ・ライの出発
29	2	牢獄の火災と不意の解放
29	3	宮殿の火災と王太子の脱出
30	1	王太子の脱出とルクミニーの最期
31	1	王太子の逃亡とルクミニーの告発
32	1	ビバの再会への歓喜と母の葛藤
33	1	ライガルでの自由と帰還への決意
33	2	王太子の密かな旅立ちと大おじとの別れ
33	3	王太子の捕縛とライガル王への死刑命令
33	4	プラタープの裏切りとバサンタ・ライの最期
34	1	王位を放棄しカーシーへ旅立つウダヤディティヤ
35	1	ウダヤディティヤとビバの新天地への旅立ち
36	1	ラムモハンとの再会と不穏な知らせ
36	2	マハラジャの再婚とビバの絶望
36	3	身分を隠して質素な姿で出かけるビバ
37	1	王に拒絶された王妃ビバの旅立ち
